Feature	Intercept_mean	C(disease, Treatment('Control'))[T.MS]_mean	age_mean	bmi_mean	Intercept_std	C(disease, Treatment('Control'))[T.MS]_std	age_std	bmi_std
G000240185	-11.751745415000004	0.18701668303810007	0.017891624676999996	0.03084613404555	0.9042925917702901	0.2142089533116596	0.013534477418049824	0.026495602297857374
G000526695	-12.36760795499998	-2.3076605579300002	-0.12047347228500013	-0.13202179176454054	1.8714132332640665	1.4414980489397904	0.06025561854019084	0.11035887070377043
G001916495	-6.417266004999999	-0.4479108791000002	-0.007213295884019991	0.009954251176249996	0.6393406484016881	0.12229587528812007	0.010530697599081741	0.016949867307958496
G000827125	-12.771322259999984	1.056118873193	-0.04406785083855009	-0.1405554521070551	1.7867932694186497	0.8897957764733408	0.03475244923586889	0.06436201804618431
G001311355	-13.416398639999981	-0.501676753226	-0.04314498532750003	0.006341084462000001	0.9801828470328124	0.2435784667257755	0.014501356394223671	0.027950166864061328
G000154245	-6.868596419999992	-0.20215623854200027	-0.000650459160027999	0.008505198454949988	0.5329866552713901	0.0831049943306899	0.008900321841690066	0.012017624063723937
G001274895	-11.229748815000015	0.7313608189899998	-0.04086532013644999	-0.04021216341900009	1.0522178460650833	0.33184236579774595	0.01632698208993871	0.032707446841501474
G000410815	-16.68432325000003	0.24352832206310496	-0.01696840819185502	-0.011244254448849994	0.9178862189151975	0.19558085067145847	0.0138818046680973	0.026036744149749543
G900104755	-9.883423115	-1.266652447450001	-0.16686139914400022	-0.2120753199855001	1.8324492283168843	1.299216853772389	0.06606874173149092	0.10340195746127283
G000773015	-9.275709014999991	-2.0752239089845026	-0.1787472350254999	-0.24031980931150015	1.9090085961689318	1.603031188321821	0.07901423909097796	0.13287737538022662
G000026105	-16.168496000000015	-0.9983231965950013	-0.008469471796280017	-0.022618016095300005	1.575232520964445	0.7205543697155944	0.02418391511377207	0.04846395530599885
G001689425	-11.018750599999994	0.10659291558349997	-0.026193602928090014	-0.07541295567770012	1.388401281695728	0.5452980306969659	0.023371900253366613	0.049426221541967345
G000195375	-10.836579819999995	-0.34467833824100025	-0.03523647731050002	-0.04280136688200005	1.054347183932061	0.29691129374322833	0.015219518233476463	0.030825977051559553
G000160835	-14.437675750000007	-0.7428436552049991	-0.03736971925554997	0.016907494401249994	1.1101769572311162	0.362007635296803	0.01773263825624961	0.03612912377661314
G000372885	-14.24374411000001	1.0248962681700007	-0.05271478090564997	-0.1352606081850001	1.6417103105580495	0.6207435311646395	0.026639462669438074	0.056048451259283254
G000296855	-9.100522410000004	1.4236661573500018	-0.11227795304999996	-0.074758353712	1.2983757477086475	0.5236424418985643	0.022259092142959267	0.04142780275325883
G000754275	-15.42877229999998	-0.5135198964145004	-0.01983470545874998	0.020941327313049988	0.9488381350487074	0.22204590845957456	0.014460564239500442	0.02784013893780499
G000963705	-9.263859745	-5.22814190865001	0.04818196983799992	-0.7581415441999987	2.0310875431982716	3.272172869841236	0.11282801456752098	0.2634203443953357
G001422205	-13.052960515000024	1.3222691706950007	-0.07186581443399996	-0.23146420712499996	1.905030193433291	1.3534017587130944	0.047595710579303493	0.1007821780058808
G000433215	-8.687695995000006	-0.3148761960850001	-0.009829276315139995	0.027775474556139934	0.6268046367620529	0.11311334266055575	0.009788836156197382	0.015612695712114707
G001007875	-11.935381229999994	-2.4175537886499963	-0.03985458957219996	-0.24528231600000058	1.7267594828047392	0.8241878640142369	0.03334992530291034	0.07273751961767977
G000615905	-13.632986419999988	-1.0795956838055016	-0.12622370294999963	-0.004949726224749995	1.6387907751427218	0.7218297316060084	0.03310262440719158	0.061021829240929706
G000381725	-13.64479707500001	0.4793086973803499	-0.02727725379244997	-0.08173974273999993	1.179785906667304	0.3562282879228747	0.018193908386907844	0.036735460376724205
G000012545	-10.102874504999994	1.3943060887750003	0.12523025228100002	-0.41406762085000043	1.8252444071079226	0.993390441906879	0.04513639926495126	0.09716667092651254
G000220625	-14.597683149999991	0.8648884814356985	-0.04164120437165	-0.06531332365594993	1.3328413469205849	0.4472284508771332	0.021009638178419755	0.0453443847573377
G000178815	-10.198503494999986	-2.4625618997199994	-0.0007450341624999988	-0.4556680264999998	1.9477129217928477	1.1737417346528896	0.047019265577419055	0.10767630848633701
G001457455	-12.464056645000015	0.5788270457149992	-0.041145698718700004	-0.0639829739307	1.137541661981088	0.36347524369559564	0.01803795795662035	0.03867154107981695
G000469325	-13.691744029999994	-0.19131237607549978	-0.02697285571815003	-0.17877305629999993	1.5511191161857167	0.5312078821164888	0.02453194765499372	0.05312356537705703
G000332255	-8.899158010000008	-0.8026841238184995	-0.03880034098350004	-0.5230151716500001	1.941970282350181	1.4523308174264205	0.06643715460690572	0.1455727645314366
G000423465	-12.250428984999994	0.4477511813849999	-0.04581681196252502	-0.28899766730000015	1.8696813776368457	1.1467350394716755	0.04930181802740103	0.10323399954788952
G000428905	-10.54935326999999	-1.0795403577505007	-0.2147259119500003	-0.08027005261514997	1.792293927105514	1.1917923706942821	0.06239188839296268	0.10138771802619678
G000265405	-14.067133164999982	-0.11940934917979994	-0.0513852143525	-0.128691004137	1.6920322726795543	0.6677843226489991	0.030842895710494162	0.06288583928186078
G002019695	-13.469074479999986	-0.43479092887199977	-0.10164433097499993	-0.031449502189699996	1.5792966123642933	0.6459879420474702	0.030222819102556243	0.049022671666403735
G000240225	-11.55047055	0.1470108115250001	0.022031574497249972	-0.4826606520000003	1.8531796897587378	1.3907662025926033	0.0556894908625255	0.13384636255287596
G000508325	-13.277797160000006	-0.36480675398399914	-0.0017311088985500012	-0.16189910939999982	1.3492764926610614	0.4795424960712208	0.020757202912771607	0.050151129742086416
G001513335	-11.440346975000015	-0.6176324107724998	0.014551992240650015	-0.4129007732499999	1.8407905503587303	1.2330524792887936	0.049589082970854764	0.1080260047794845
G000436835	-8.415053689999988	-0.49530613157500053	0.005771966720490006	-0.0008171180228249996	0.9096678391654197	0.2411801972554278	0.013805711299398674	0.02649307433898932
G001584645	-14.761690399999987	0.3289400839960001	-0.013406866927299987	0.005053378237349985	0.966964291159627	0.24585217914878893	0.014068983098419993	0.027434111967466295
G001050435	-14.239674794999978	-1.7228381071749996	-0.05918897068500005	-0.0752238336934501	1.4899441368466655	0.5928275906738169	0.02426191835624047	0.05034147112464713
G900105035	-11.893003294999968	-0.5047919176950005	-0.10266089054949985	-0.1889104296465002	1.796851847295012	1.0517468597993538	0.04407600989819082	0.0814220987586774
G000312025	-10.332465115000007	-0.044727102723749905	-0.022124450790829978	0.01543955093681001	0.8122540689581593	0.1968454819068911	0.012589384248916173	0.022456624969913342
G000687675	-13.196013949999985	-0.08264274727139999	0.0011953737595900025	-0.00859480028005001	0.5231009196994372	0.07652245110980768	0.008218267720822998	0.01086481132371728
G900112885	-10.458235425000016	-0.019284687812200017	-0.0020715892245550013	0.0025703650042500016	0.3977379973008855	0.05466174330558123	0.0064664283732972175	0.008015502330974082
G001311375	-13.291227454999996	-1.5803111721000014	-0.08635639783000003	-0.05589123880279998	1.6817142242527021	0.7069225188938697	0.029782668610915893	0.06119693470996407
G000410875	-15.046814774999998	-2.7892918514999954	0.011250621788099999	-0.15189892465049992	1.7427213763251852	0.8030926070902296	0.03094042314521115	0.06917993239416861
G001274915	-14.772470129999983	-0.9627548078149998	-0.004415686440059995	-0.1509777038645	1.5407455862547783	0.621382292184346	0.024083607128256194	0.05632983405740227
G900129815	-11.826153515000016	-0.30744249791499995	-0.009276157279484984	0.010503349249649989	0.6344091736799647	0.1032465867445327	0.010228545021289885	0.01416621751182766
G000372965	-13.794144694999977	-0.4372909399685008	-0.09770082635000023	0.012447385937450019	1.5488076667231503	0.653241235009422	0.025978663109020632	0.04843309721563292
G000026125	-13.813394530000002	0.12371334468099983	-0.02743689894265	-0.09881023827700024	1.2659322796100807	0.3603636401502636	0.01796082845081465	0.041509769237484895
G000773975	-15.069797150000007	0.07717993315610003	0.0031242717035499974	-0.030078269324999993	1.0439481151459966	0.26024865676495923	0.015196068817708897	0.032712670375344054
G001422215	-9.513248609999994	-1.3231714424975	-0.10834155003700001	-0.27290872152999957	1.8232668423950888	1.0790567715071535	0.053073790449099496	0.10224696110070337
G000827595	-11.782678324999994	-0.27557789070899963	-0.01716227878109002	-0.039667479921	0.9297736506696372	0.21906519401467894	0.014104252938423618	0.025898522372096368
G000964005	-12.135008259999983	0.28181128006000006	-0.08237924924750001	-0.20605432034200027	1.8342957726022466	1.0616588050840474	0.047096340045855604	0.09454655037723092
G000711825	-10.466391744999997	-0.016723567707999997	-0.0013451017245449987	0.0012433139553000001	0.42636669461568566	0.053293994915981524	0.006720340075749056	0.00817018209933007
G000160875	-7.562655015000008	0.9043851151999996	-0.06401986519499996	-0.07700143027100001	1.0452390699467273	0.3208579294286849	0.015486955191760708	0.032669071753300145
G000526735	-6.653138625000006	-0.0029057741183049946	-0.008563915228524994	0.009175142567169989	0.5541394064490982	0.09033735141924826	0.008990434904256836	0.012390954947639409
G001689645	-13.93985579999998	-0.3233672909750005	-0.009349892300735012	0.005498844670849995	0.6344166079606995	0.10364781483868755	0.009771692826094285	0.015148229972127418
G000615945	-10.816828249999995	-1.1352277018300012	-0.059060243754500016	-0.33109918458999993	1.8350647646812739	1.190686652275173	0.0490440643165428	0.1077267790726204
G001916635	-10.00173568000001	0.2304510982511499	0.01346362200361	-0.016819043762400013	0.6648041129182621	0.13144636529375353	0.010969521558836322	0.01727993408139437
G000433235	-8.623193559999999	0.3195105134099991	0.00895795697679999	-0.06102709158504993	1.1875953135440644	0.40161910979825344	0.019155142577132064	0.04022343406810074
G000381765	-12.68139590499998	1.0623885742970005	-0.12241855129999991	-0.05946017559164999	1.5829813703003845	0.7403798798525664	0.030625849798424826	0.05092000783236666
